channel_budget_digital,channel_budget_tv,channel_budget_radio,channel_budget_newspaper,sales,spend_frequency,start_date,end_date,duration,roi,engagement_metrics,target_audience_size,demographics,zip_code,seasonality
103.5,69.0,9.3,0.9,9.3,0,2023-01-20,2023-02-20,31,1.568447199,162,79514,4,92256,1
47.25,31.5,24.6,2.2,9.5,1,2023-06-22,2023-08-31,70,1.0480809,54,16988,4,92266,0
208.95,139.3,14.5,10.2,13.4,0,2023-11-11,2024-01-20,70,2.092549199,632,76575,0,93563,1
356.1,237.4,27.5,11.0,18.9,1,2023-11-11,2024-01-19,69,2.309455956,39,31673,1,93428,2
325.2,216.8,43.9,27.2,22.3,0,2023-11-29,2024-01-07,39,2.93119449,479,86801,0,96084,2
298.65,199.1,30.6,38.7,18.3,1,2023-11-12,2024-01-03,52,1.701418438,561,60137,0,95548,2
164.7,109.8,14.3,31.7,12.4,2,2023-03-16,2023-05-10,55,1.015392501,101,90028,0,93650,1
40.2,26.8,33.0,19.3,8.8,0,2023-07-21,2023-09-04,45,2.969662154,902,20406,2,94508,0
194.1,129.4,5.7,31.3,11.0,1,2023-06-04,2023-07-22,48,2.338183342,883,64282,3,95333,1
320.1,213.4,24.6,13.1,17.0,0,2023-05-02,2023-06-23,52,0.9144303035,443,42785,0,95560,3
25.35,16.9,43.7,89.4,8.7,0,2023-09-23,2023-12-04,72,1.879341545,448,54621,0,92122,1
41.25,27.5,1.6,20.7,6.9,0,2023-03-20,2023-05-06,47,0.8622480545,631,29750,4,91755,0
180.75,120.5,28.5,14.2,14.2,1,2023-01-21,2023-03-06,44,1.429443062,642,40636,0,95305,1
8.1,5.4,29.9,9.4,5.3,1,2023-01-25,2023-04-07,72,0.5613211172,899,68793,3,91381,2
174.0,116.0,7.7,23.1,11.0,0,2023-10-03,2023-11-26,54,2.005281155,349,76999,4,95660,1
114.6,76.4,26.7,22.3,11.8,2,2023-03-20,2023-04-28,39,2.137399293,260,86072,2,91746,0
359.7,239.8,4.1,36.9,12.3,1,2023-03-05,2023-04-20,46,1.340013845,720,76783,3,95443,2
112.95,75.3,20.3,32.5,11.3,1,2023-03-28,2023-06-01,65,2.137445642,358,25846,4,91803,2
102.6,68.4,44.5,35.6,13.6,0,2023-08-12,2023-11-02,82,2.275031914,543,16992,4,90403,3
320.25,213.5,43.0,33.8,21.7,2,2023-12-23,2024-02-26,65,1.522778695,205,27468,1,95240,1
289.8,193.2,18.4,65.7,15.2,0,2023-08-09,2023-09-28,50,1.761833486,335,39638,0,90001,2
114.45,76.3,27.5,16.0,12.0,0,2023-02-06,2023-03-13,35,1.343976735,43,20372,3,94533,0
166.05,110.7,40.6,63.2,16.0,1,2023-06-09,2023-08-23,75,2.702455596,950,52713,0,95204,3
132.45,88.3,25.5,73.4,12.9,2,2023-01-25,2023-04-02,67,1.452599561,35,25531,3,92592,1
164.7,109.8,47.8,51.4,16.7,1,2023-08-21,2023-11-14,85,2.96227708,946,15546,0,92028,1
201.45,134.3,4.9,9.3,11.2,2,2023-12-02,2024-02-22,82,2.974146013,54,92649,3,93554,0
42.9,28.6,1.5,33.0,7.3,0,2023-10-18,2023-12-28,71,2.577536297,441,17836,4,93422,3
326.55,217.7,33.5,59.0,19.4,0,2023-10-15,2023-12-15,61,1.33254716,101,70075,3,95365,0
376.35,250.9,36.5,72.3,22.2,1,2023-03-24,2023-06-14,82,2.449125963,554,19485,3,93021,3
161.1,107.4,14.0,10.9,11.5,1,2023-07-23,2023-10-19,88,1.80970324,180,41829,0,93463,2
244.95,163.3,31.6,52.9,16.9,2,2023-10-28,2023-12-30,63,2.293724896,507,70132,2,94515,2
296.4,197.6,3.5,5.9,11.7,2,2023-10-19,2023-12-15,57,2.333602473,324,61818,0,90638,2
277.35,184.9,21.0,22.0,15.5,2,2023-02-09,2023-03-28,47,1.732722032,216,76825,0,93516,2
434.55,289.7,42.3,51.2,25.4,0,2023-12-25,2024-03-11,77,1.462987155,34,41100,4,92078,1
202.8,135.2,41.7,45.9,17.2,0,2023-12-02,2024-01-17,46,0.9738233725,597,12978,0,92239,0
333.6,222.4,4.3,49.8,11.7,2,2023-03-02,2023-05-06,65,2.352710188,0,26479,4,95313,2
444.6,296.4,36.3,100.9,23.8,0,2023-10-28,2023-11-29,32,2.972666332,149,42986,1,95379,3
420.3,280.2,10.1,21.4,14.8,0,2023-02-10,2023-04-23,72,1.050609846,630,56425,0,92120,2
281.85,187.9,17.2,17.9,14.7,2,2023-11-28,2024-01-06,39,1.419788808,773,10433,4,95603,1
357.3,238.2,34.3,5.3,20.7,0,2023-02-03,2023-03-27,52,1.943011336,296,53434,0,93725,0
206.85,137.9,46.4,59.0,19.2,2,2023-10-05,2023-12-09,65,1.604001562,932,99412,2,93616,1
37.5,25.0,11.0,29.7,7.2,0,2023-03-28,2023-05-19,52,1.756016093,917,66584,4,94065,0
135.6,90.4,0.3,23.2,8.7,2,2023-10-25,2024-01-07,74,0.6900101482,979,39872,1,92285,0
19.65,13.1,0.4,25.6,5.3,2,2023-08-28,2023-11-18,82,1.104314061,747,20483,0,90250,1
383.1,255.4,26.9,5.5,19.8,1,2023-10-06,2023-12-10,65,1.674043674,690,43044,1,93445,1
338.7,225.8,8.2,56.5,13.4,1,2023-06-07,2023-07-26,49,2.655071871,781,42698,4,93202,2
362.55,241.7,38.0,23.2,21.8,0,2023-02-28,2023-05-08,69,0.7563003443,267,53856,3,95612,2
263.55,175.7,15.4,2.4,14.1,1,2023-10-24,2023-12-07,44,1.027495831,455,96078,2,92620,1
314.4,209.6,20.6,10.7,15.9,1,2023-05-23,2023-06-28,36,1.196938345,654,20861,4,95066,3
117.3,78.2,46.8,34.5,14.6,1,2023-12-19,2024-02-21,64,1.81152774,327,27250,0,95368,2
112.65,75.1,35.0,52.7,12.6,1,2023-02-21,2023-04-09,47,0.8056836495,227,18863,2,95519,1
208.8,139.2,14.3,25.6,12.2,2,2023-06-17,2023-08-28,72,2.827000655,365,70804,3,94027,0
114.6,76.4,0.8,14.8,9.4,2,2023-01-04,2023-03-04,59,2.714735576,236,71601,2,92649,2
188.55,125.7,36.9,79.2,15.9,2,2023-03-30,2023-05-29,60,1.528352737,900,10343,3,92320,0
29.1,19.4,16.0,22.3,6.6,2,2023-12-25,2024-01-24,30,1.790456007,109,12842,3,94014,1
211.95,141.3,26.8,46.2,15.5,1,2023-08-06,2023-10-17,72,1.810206872,13,63359,0,95461,2
28.2,18.8,21.7,50.4,7.0,2,2023-06-23,2023-09-20,89,2.449348052,7,31956,2,94705,3
336.0,224.0,2.4,15.6,11.6,2,2023-07-05,2023-09-28,85,2.387010271,334,96698,3,93249,0
184.65,123.1,34.6,12.4,15.2,2,2023-02-19,2023-04-06,46,1.552937971,248,87820,2,92844,0
344.25,229.5,32.3,74.2,19.7,2,2023-08-29,2023-11-10,73,0.9352938358,741,83921,2,92203,1
130.8,87.2,11.8,25.9,10.6,0,2023-01-01,2023-03-06,64,2.231970049,8,71926,4,93033,0
11.7,7.8,38.9,50.6,6.6,1,2023-10-03,2023-11-06,34,2.339651464,103,48394,3,92122,2
120.3,80.2,0.0,9.2,8.8,1,2023-08-15,2023-10-27,73,0.5026979161,301,62066,2,92027,2
330.45,220.3,49.0,3.2,24.7,2,2023-05-18,2023-07-20,63,1.694865838,9,62142,4,92553,2
89.4,59.6,12.0,43.1,9.7,0,2023-09-23,2023-12-17,85,1.052604177,308,99456,2,91710,2
1.05,0.7,39.6,8.7,1.6,0,2023-06-20,2023-07-20,30,1.407245055,882,34406,1,95820,2
397.8,265.2,2.9,43.0,12.7,1,2023-08-18,2023-10-25,68,2.97145593,562,73738,3,92117,2
12.6,8.4,27.2,2.1,5.7,0,2023-01-29,2023-03-22,52,2.213372649,270,76906,0,95380,3
329.7,219.8,33.5,45.1,19.6,0,2023-06-01,2023-08-15,75,2.408279226,414,19257,0,92231,1
55.35,36.9,38.6,65.6,10.8,1,2023-05-07,2023-07-07,61,0.7954369326,281,15214,1,95321,2
72.45,48.3,47.0,8.5,11.6,0,2023-08-15,2023-10-19,65,1.733435672,166,93201,4,95033,1
38.4,25.6,39.0,9.3,9.5,1,2023-05-08,2023-06-30,53,2.120895356,404,30386,4,93611,3
410.55,273.7,28.9,59.7,20.8,1,2023-07-21,2023-10-08,79,2.384345514,955,97979,2,96046,2
64.5,43.0,25.9,20.5,9.6,1,2023-05-22,2023-06-23,32,2.313608045,217,23866,2,91364,3
277.35,184.9,43.9,1.7,20.7,0,2023-09-13,2023-11-26,74,2.176922113,215,33368,3,92592,3
110.1,73.4,17.0,12.9,10.9,1,2023-07-26,2023-10-20,86,1.27819362,151,74283,2,95334,3
290.55,193.7,35.4,75.6,19.2,0,2023-05-19,2023-08-10,83,0.9396616787,762,14475,0,93274,2
330.75,220.5,33.2,37.9,20.1,0,2023-12-06,2024-02-16,72,2.166628608,943,50711,1,93427,2
156.9,104.6,5.7,34.4,10.4,2,2023-02-19,2023-04-01,41,0.7923025315,816,40345,0,93552,1
144.3,96.2,14.8,38.9,11.4,1,2023-02-21,2023-05-14,82,0.7133960424,126,38728,2,92655,1
210.45,140.3,1.9,9.0,10.3,0,2023-01-10,2023-03-05,54,0.9370789618,362,96754,2,95630,1
360.15,240.1,7.3,8.7,13.2,0,2023-08-15,2023-09-16,32,2.310740683,512,55095,2,94619,0
364.8,243.2,49.0,44.3,25.4,0,2023-05-18,2023-08-07,81,2.47016622,310,42503,3,94960,0
57.0,38.0,40.3,11.9,10.9,0,2023-10-30,2024-01-16,78,1.102853606,606,43648,1,91010,2
67.05,44.7,25.8,20.6,10.1,2,2023-05-25,2023-07-23,59,1.796987795,723,79794,1,92530,0
421.05,280.7,13.9,37.0,16.1,2,2023-03-30,2023-05-30,61,1.040372867,208,49817,3,92672,1
181.5,121.0,8.4,48.7,11.6,2,2023-02-11,2023-03-20,37,2.177015484,812,74565,3,90004,1
296.4,197.6,23.3,14.2,16.6,1,2023-03-24,2023-04-30,37,0.7732353819,595,52138,0,90241,2
256.95,171.3,39.7,37.7,19.0,0,2023-07-14,2023-09-28,76,2.819469389,985,43256,4,94923,3
281.7,187.8,21.1,9.5,15.6,0,2023-07-30,2023-10-16,78,1.901070048,627,77158,0,95925,0
6.15,4.1,11.6,5.7,3.2,1,2023-05-23,2023-08-17,86,1.181233245,424,30215,2,92338,1
140.85,93.9,43.5,50.5,15.3,2,2023-10-29,2023-12-31,63,1.426560975,421,47908,3,95051,2
224.7,149.8,1.3,24.3,10.1,0,2023-12-30,2024-02-29,61,1.128575498,748,89660,1,92571,1
17.55,11.7,36.9,45.2,7.3,1,2023-07-26,2023-10-17,83,1.745312603,974,97673,0,95540,3
197.55,131.7,18.4,34.6,12.9,1,2023-05-16,2023-07-07,52,0.9065004986,160,27825,1,92122,3
258.75,172.5,18.1,30.7,14.4,0,2023-06-26,2023-08-13,48,2.290072479,305,13443,1,91773,0
128.55,85.7,35.8,49.3,13.3,0,2023-03-04,2023-04-20,47,0.7859055659,415,99559,3,95672,3
282.6,188.4,18.1,25.6,14.9,2,2023-04-13,2023-06-25,73,0.5930227144,106,94375,2,96106,3
245.25,163.5,36.8,7.4,18.0,0,2023-06-03,2023-08-24,82,2.641892052,975,13754,3,92122,3
175.8,117.2,14.7,5.4,11.9,0,2023-01-19,2023-04-14,85,1.640613201,406,82910,2,95651,0
351.75,234.5,3.4,84.8,11.9,1,2023-12-28,2024-02-14,48,2.549238992,638,50406,4,92078,3
26.85,17.9,37.6,21.6,8.0,0,2023-12-13,2024-01-29,47,2.483715808,661,81546,0,93436,0
310.2,206.8,5.2,19.4,12.2,2,2023-04-23,2023-07-01,69,2.432846523,818,41716,1,95664,3
323.1,215.4,23.6,57.6,17.1,1,2023-05-26,2023-07-21,56,1.201591199,142,71245,2,94133,2
426.45,284.3,10.6,6.4,15.0,1,2023-10-21,2024-01-10,81,2.222390128,377,79505,2,91345,3
75.0,50.0,11.6,18.4,8.4,1,2023-03-26,2023-05-08,43,1.826881676,685,23389,0,90040,1
246.75,164.5,20.9,47.4,14.5,2,2023-10-27,2023-12-22,56,1.538975565,129,90950,4,90710,1
29.4,19.6,20.1,17.0,7.6,0,2023-01-13,2023-03-24,70,2.889790765,99,25751,2,94108,2
252.6,168.4,7.1,12.8,11.7,2,2023-04-28,2023-06-21,54,2.114391095,732,88285,4,90301,2
333.6,222.4,3.4,13.1,11.5,1,2023-08-12,2023-09-29,48,2.13193086,402,37127,4,90015,1
415.35,276.9,48.9,41.8,27.0,2,2023-11-26,2024-02-08,74,2.852494024,854,57749,4,94060,1
372.6,248.4,30.2,20.3,20.2,1,2023-03-07,2023-05-27,81,1.546178339,429,96780,3,95004,1
255.3,170.2,7.8,35.2,11.7,2,2023-02-21,2023-05-11,79,2.45093428,334,52650,4,93603,0
415.05,276.7,2.3,23.7,11.8,0,2023-07-13,2023-09-25,74,0.7422008391,888,17742,2,93648,1
248.4,165.6,10.0,17.6,12.6,2,2023-10-17,2023-11-27,41,2.136385813,392,12640,1,92328,1
234.9,156.6,2.6,8.3,10.5,1,2023-07-02,2023-09-20,80,0.8527855065,887,57091,3,91744,3
327.75,218.5,5.4,27.4,12.2,0,2023-01-20,2023-03-01,40,2.690535332,556,61350,0,93656,2
84.3,56.2,5.7,29.7,8.7,1,2023-06-01,2023-08-17,77,2.919782591,520,88152,4,94104,1
431.4,287.6,43.0,71.8,26.2,2,2023-07-13,2023-09-15,64,1.413852473,108,95537,3,95916,1
380.7,253.8,21.3,30.0,17.6,0,2023-04-04,2023-06-06,63,2.551758227,840,79347,3,95439,0
307.5,205.0,45.1,19.6,22.6,0,2023-05-19,2023-06-23,35,0.8976184118,568,33440,4,95010,2
209.25,139.5,2.1,26.6,10.3,0,2023-10-06,2023-11-30,55,1.020037287,884,91149,3,92109,0
286.65,191.1,28.7,18.2,17.3,2,2023-07-02,2023-08-11,40,2.686482808,752,54795,4,91711,3
429.0,286.0,13.9,3.7,15.9,1,2023-11-01,2024-01-18,78,0.7609399082,399,14575,4,91207,3
28.05,18.7,12.1,23.4,6.7,0,2023-12-26,2024-02-12,48,1.146023069,502,81814,4,90248,1
59.25,39.5,41.1,5.8,10.8,0,2023-06-19,2023-08-06,48,1.522354365,669,59391,4,92028,2
113.25,75.5,10.8,6.0,9.9,1,2023-03-12,2023-04-11,30,1.540282801,855,24457,2,94134,3
25.8,17.2,4.1,31.6,5.9,1,2023-11-15,2024-02-07,84,0.5910157625,493,40538,3,92126,2
250.2,166.8,42.0,3.6,19.6,1,2023-08-22,2023-10-07,46,2.383977864,821,60795,4,92703,3
224.55,149.7,35.6,6.0,17.3,2,2023-07-30,2023-10-25,87,2.776020317,587,82911,1,95369,3
57.3,38.2,3.7,13.8,7.6,0,2023-04-27,2023-05-28,31,2.70354272,646,28539,3,93522,2
141.3,94.2,4.9,8.1,9.7,1,2023-07-30,2023-09-01,33,1.44310521,551,11608,2,92404,3
265.5,177.0,9.3,6.4,12.8,1,2023-09-21,2023-12-04,74,2.048205313,428,86873,2,95542,2
425.4,283.6,42.0,66.2,25.5,2,2023-06-05,2023-08-29,85,2.240554322,29,18380,1,90807,3
348.15,232.1,8.6,8.7,13.4,0,2023-03-18,2023-06-04,78,0.7553228658,212,54562,4,91784,2
345.15,230.1,37.8,69.2,22.1,0,2023-02-07,2023-03-10,31,1.098899297,576,93690,1,95762,0
66.75,44.5,39.3,45.1,10.4,0,2023-04-04,2023-05-05,31,2.776953625,275,51257,0,95403,3
25.8,17.2,45.9,69.3,9.3,1,2023-10-01,2023-11-23,53,1.58261978,147,76724,4,90265,2
227.25,151.5,41.3,58.5,18.5,2,2023-03-18,2023-04-30,43,0.7753003543,8,71165,2,95401,3
271.2,180.8,10.8,58.4,12.9,2,2023-04-13,2023-06-21,69,0.7794379372,202,93354,2,93656,0
13.05,8.7,48.9,75.0,7.2,1,2023-12-29,2024-02-13,46,2.340803317,478,15527,1,93035,2
86.25,57.5,32.8,23.5,11.8,2,2023-09-20,2023-11-09,50,1.082478388,310,75255,2,93591,2
180.3,120.2,19.6,11.6,13.2,1,2023-02-15,2023-03-30,43,1.989469111,494,40524,1,91723,1
12.9,8.6,2.1,1.0,4.8,1,2023-08-23,2023-09-26,34,0.8105641831,448,35915,2,93954,0
299.7,199.8,2.6,21.2,10.6,2,2023-11-02,2024-01-03,62,1.254811516,415,66609,0,93591,0
99.15,66.1,5.8,24.2,8.6,2,2023-03-15,2023-05-23,69,2.076112422,140,11799,4,95546,3
322.05,214.7,24.0,4.0,17.4,1,2023-10-15,2024-01-12,89,1.207207278,115,88747,3,90802,2
35.7,23.8,35.1,65.9,9.2,2,2023-07-02,2023-09-03,63,1.723263756,272,16030,2,95564,3
146.25,97.5,7.6,7.2,9.7,1,2023-09-26,2023-11-25,60,2.371860471,465,61011,3,95527,3
306.15,204.1,32.9,46.0,19.0,0,2023-04-15,2023-06-06,52,1.003773258,968,75339,4,92844,0
293.1,195.4,47.7,52.9,22.4,1,2023-03-11,2023-05-13,63,1.668339269,846,45587,1,96121,0
101.7,67.8,36.6,114.0,12.5,2,2023-04-21,2023-07-12,82,2.357638499,466,38328,3,96007,3
422.1,281.4,39.6,55.8,24.4,2,2023-11-21,2024-02-07,78,1.738438509,818,55687,1,92122,0
103.8,69.2,20.5,18.3,11.3,1,2023-11-02,2024-01-28,87,1.842621563,879,33222,2,92123,1
220.95,147.3,23.9,19.1,14.6,0,2023-04-08,2023-05-11,33,0.7612326738,603,18319,4,93453,0
327.6,218.4,27.7,53.4,18.0,0,2023-05-26,2023-07-10,45,2.235043434,974,44792,3,92869,0
356.1,237.4,5.1,23.5,12.5,1,2023-05-18,2023-07-17,60,1.741797524,566,60818,4,90033,3
19.8,13.2,15.9,49.6,5.6,0,2023-03-18,2023-06-06,80,2.099185406,842,89437,3,95111,2
342.45,228.3,16.9,26.2,15.5,0,2023-07-17,2023-09-18,63,2.612365924,776,90927,2,92109,1
93.45,62.3,12.6,18.3,9.7,2,2023-04-02,2023-05-22,50,2.546130533,581,45090,3,95640,2
394.35,262.9,3.5,19.5,12.0,1,2023-11-01,2023-12-09,38,0.561209468,698,41466,1,94404,2
214.35,142.9,29.3,12.6,15.0,2,2023-03-24,2023-06-13,81,1.133004413,838,14835,0,92117,2
360.15,240.1,16.7,22.9,15.9,1,2023-08-28,2023-10-16,49,1.428665344,810,27399,3,90034,1
373.2,248.8,27.1,22.9,18.9,1,2023-10-31,2024-01-11,72,2.664995978,699,70801,4,94130,1
105.9,70.6,16.0,40.8,10.5,1,2023-01-25,2023-02-25,31,2.953931918,934,61145,2,95062,3
439.35,292.9,28.3,43.2,21.4,0,2023-10-15,2023-12-18,64,1.461190098,238,63550,3,92596,2
169.35,112.9,17.4,38.6,11.9,0,2023-10-16,2023-11-30,45,0.8917719499,918,27960,2,92021,1
145.8,97.2,1.5,30.0,9.6,0,2023-08-17,2023-09-30,44,2.230299626,731,66455,2,91403,1
398.4,265.6,20.0,0.3,17.4,0,2023-02-27,2023-05-02,64,1.021390304,290,98206,4,92860,2
143.55,95.7,1.4,7.4,9.5,2,2023-10-28,2024-01-07,71,2.684431268,802,54432,0,95686,1
436.05,290.7,4.1,8.5,12.8,0,2023-04-08,2023-07-05,88,1.475374647,653,54994,2,93532,3
400.35,266.9,43.8,5.0,25.4,0,2023-08-10,2023-10-19,70,0.5082650164,178,42986,3,90723,0
112.05,74.7,49.4,45.7,14.7,2,2023-01-20,2023-03-04,43,1.931137234,31,88081,4,92675,0
64.65,43.1,26.7,35.1,10.1,0,2023-05-12,2023-08-03,83,2.084636048,654,71283,4,95228,1
342.0,228.0,37.7,32.0,21.5,1,2023-09-13,2023-11-30,78,0.567098507,991,81391,0,91724,2
303.75,202.5,22.3,31.6,16.6,1,2023-04-02,2023-05-06,34,2.183869496,908,61439,4,95932,0
265.5,177.0,33.4,38.7,17.1,1,2023-04-03,2023-06-13,71,1.800126929,951,89845,0,90630,3
440.4,293.6,27.7,1.8,20.7,2,2023-06-17,2023-09-11,86,1.572387944,203,22345,4,95814,0
310.35,206.9,8.4,26.4,12.9,2,2023-10-11,2023-12-15,65,2.673924682,692,57007,2,93534,2
37.65,25.1,25.7,43.3,8.5,1,2023-08-07,2023-10-02,56,0.8573256501,455,46675,4,92867,2
